GC_ID,sample#,location,spp,C12.0,i-14.0,C14.0,C14.1n5,i-15.0,a-15.0,C15.0,C15.1w7,i-16.0,C16.0,C16.1w9,C16.1w8,C16.1w7,C16.1w6,C16.1w5,i-17.0,a-17.0,C17.0,C17.1n7,C16.2w7,C16.2w6,C16.2w4,C16.3w6,C16.3w4,C16.3w3,C16.4w3,C16.4w1,C18.0,C18.1w9,C18.1w7,C18.2w6t,C18.2w6,C18.3w6,C18.3w3,C18.4w4,C18.4w3,C18.5w3,C20.0,C20.1w9,C20.1w7,"C20.2-5,11","C20.2-5,13",C20.2w6,C20.3w6,C20.4w6,C20.3w3,C20.4w3,C20.5w3,C22.0,C22.1w9,C22.1w7,C22.2w6,C22.4w6,C22.5w6,C22.3w3,C22.4w3,C22.5w3,C22.6w3,C24.0,w-3,C16w-3,C18w-3,C20w-3,C22w-3,ALA+SDA,EPA,DHA,w-6,LIN,ARA,DPA,BrFA,C16MUFA,C18MUFA,MUFA,SAFA,LSAFA,LCPUFA,LCEFA,comments
201702.MFM_01_562017_1.qgd,1,BK-2,Drapa,0.030953271,0.006981308,0.935432243,0.031100467,0.075007009,0.01114486,0.074292056,0,0.007233645,18.67401168,0.572425234,0,1.477850467,0,0.143474299,0.019514019,0,0.06075,0,0,0.060350467,0,0,0.700591121,0.705953271,20.24913785,0.028577103,0.964829439,4.177892523,0.520149533,0,4.42938785,0.125768692,57.73466355,0,6.848852804,0,0.169549065,0,0,0,0,0.032950935,0,0.009336449,0.117609813,0.463331776,0.240413551,0.671320093,0,0,0,0,0.015308411,0,0,0,0.023004673,0,86.38296729,20.95509112,64.58351636,0.82135514,0.023004673,62.1640514,0.240413551,0.023004673,4.673102804,4.42938785,0.009336449,0.015308411,0.119880841,2.19375,0,6.891792056,21.58113785,0.671320093,0.272754673,0.869004673,
201702.MFM_02_562017_2.qgd,2,SM-1,E.ver,0.029901869,0.000420561,0.198273364,0.005235981,0.006834112,0,0.012574766,0,0.002186916,1.170925234,0.014320093,0,0.345070093,0,0.347214953,0.005530374,0.005635514,0.013962617,0,0,0.043233645,0,0,0.017095794,0.023299065,0.087098131,0.023383178,0.371439252,1.557883178,0.130899533,0,0.259170561,0.005929907,0.284025701,0,0.169170561,0,0.033939252,0,0,0,0,0.033434579,0,0.065838785,0.048028037,0.028724299,0.487724299,0,0,0,0,0,0,0,0,0,0.19682243,0,1.324892523,0.110397196,0.453196262,0.564476636,0.19682243,0.543196262,0.487724299,0.19682243,0.407607477,0.259170561,0.065838785,0,0.020607477,0.70660514,0,2.39538785,1.831016355,0,0.750385514,0.82713785,Sample lost lipid during extraction. Proportions are consistent though.
201702.MFM_03_562017_3.qgd,3,MS-1,E.ver,0.027545455,0.002818182,0.356727273,0.010681818,0.008227273,0.008977273,0.014022727,0,0.001977273,1.881704545,0,0,0.745431818,0,0.005477273,0.009568182,0.004909091,0.017136364,0,0,0.09525,0,0,0.0455,0.044022727,0.121931818,0.083204545,0.368727273,2.608590909,0.223386364,0,0.332681818,0.033181818,0.346977273,0,0.259181818,0,0.065045455,0,0,0,0,0.033363636,0,0.088045455,0.048818182,0.03725,0.968545455,0,0,0,0,0,0.003454545,0,0,0.065522727,0.291204545,0,2.183454545,0.165954545,0.606159091,1.054613636,0.356727273,0.679659091,0.968545455,0.291204545,0.585977273,0.332681818,0.088045455,0.003454545,0.036477273,0.750909091,0,3.582886364,2.730909091,0,1.347795455,1.502840909,Sample lost lipid during extraction. Proportions are consistent though.
201702.MFM_04_562017_4.qgd,4,BK-2,E.ver,3.269358173,0.162454327,46.49244231,1.811963942,0.510057692,0.210634615,0.581841346,0,0.09253125,145.6343654,1.242649038,0,86.73572596,0,0.45421875,0.49471875,0.202997596,0.434401442,0,0.565961538,13.10692067,0,0,6.772305288,5.612278846,21.5027524,16.75559856,9.010319712,237.490226,22.37244231,0,20.0266226,3.931615385,39.31524519,0,45.21807692,0,4.854137019,0,0,0,0,2.323882212,1.015355769,5.140081731,5.392990385,4.818158654,114.9242668,0.074033654,0,0,0,2.287081731,0.667644231,0,0,5.841908654,17.14748798,0,259.7731659,27.11503125,84.53332212,125.1354159,22.98939663,59.34186779,114.9242668,17.14748798,48.49920433,20.0266226,5.140081731,0.667644231,1.673394231,88.43259375,0,348.295262,210.350899,0.074033654,137.2118365,157.234976,
201702.MFM_05_562017_5.qgd,5,BGO-2,E.ver,3.954834184,0.244607143,56.83440306,2.220841837,0.775561224,0.36365051,0.712538265,0,0.13892602,180.0329464,1.962757653,0,101.2182245,0,0.675688776,0.623204082,0.33355102,0.650181122,0,0.675596939,11.49476786,0,0,4.749267857,9.507329082,35.50660714,15.18531888,13.78166327,317.6769949,28.13377041,0,32.37736224,15.0182449,66.06264031,0,65.061,0,6.549658163,0,0,0,0,3.587119898,1.044183673,6.356869898,9.134357143,6.070936224,100.7534388,0.146456633,0,0,0,2.160642857,1.006117347,0,0,8.03757398,20.03709949,0,320.1709821,45.01393622,131.1236403,115.9587321,28.07467347,98.44000255,100.7534388,20.03709949,73.04530867,32.37736224,6.356869898,1.006117347,2.4795,103.8566709,0,449.6674362,262.6626811,0.146456633,127.1474082,154.6012194,
201702.MFM_06_562017_6.qgd,6,BGO-1,E.ver,1.72,0.1875,24.97781818,0.861977273,0.7265,0.259318182,0.791159091,0,0.145931818,115.2768182,0.895136364,0,78.19777273,0,0.649227273,0.663568182,0.231613636,0.732727273,0,0.824522727,11.11190909,0,0,4.376795455,2.823840909,10.02290909,9.581386364,7.965795455,143.6981364,21.69465909,0,21.45929545,3.238977273,30.78511364,0,27.80352273,0,3.673886364,0,0,0,0,3.009954545,0.974863636,6.433318182,4.120795455,3.586363636,124.6794773,0.090795455,0,0,0,2.292568182,1.439,0,0,5.237931818,19.04511364,0,228.1050682,12.84675,58.58863636,132.3866364,24.28304545,52.24440909,124.6794773,19.04511364,49.95988636,21.45929545,6.433318182,1.439,2.214431818,79.74213636,0,245.1349318,155.229,0.090795455,150.1579091,167.8094318,
201702.MFM_07_562017_7.qgd,7,BGO-1,P.can,3.4350975,0.1626525,16.54551,0.7857,0.247725,0.1275525,0.39411,0,0.14526,63.6845175,0.65322,0,39.9785175,0,0.37422,0.6303375,0.38241,0.6556275,0,0.505485,4.4836875,0,0,1.2265425,0.93393,2.4908625,3.83652,4.54041,97.60995,19.061055,0,10.7037,1.787085,13.5750375,0,9.2893725,0,3.043665,0,0,0,0,2.2226175,0.8815275,6.37479,2.551815,1.81881,83.2655475,0.251775,0,0,0,1.193985,0.576405,0,0,4.5650925,23.4137475,0,141.904215,3.4247925,22.86441,87.6361725,27.97884,24.2787375,83.2655475,23.4137475,28.2237975,10.7037,6.37479,0.576405,1.6959375,41.0059575,0,157.6769625,92.5507125,0.251775,113.054085,124.64172,
201702.MFM_08_562017_8.qgd,8,BGO-2,P.can,4.8706875,0.174504808,22.71989423,0.831418269,0.371076923,0.146985577,0.529009615,0,0.144519231,14.83732212,0.938790865,0,33.55528846,0,0.382240385,0.690771635,0.384858173,0.788862981,0,0.598694712,9.550514423,0,0,4.335295673,2.924632212,9.619052885,9.096576923,8.063372596,137.016887,18.79323317,0,14.01845192,2.293528846,29.83634135,0,25.29424038,0,4.563043269,0,0,0,0,2.21625,1.089346154,6.287495192,4.347670673,4.189326923,108.0589976,0.1591875,0,0,0,2.678971154,0.733564904,0,0,4.812100962,13.09621154,0,202.1785745,12.5436851,55.13058173,116.5959952,17.9083125,43.85479327,108.0589976,13.09621154,38.8681226,14.01845192,6.287495192,0.733564904,1.912716346,34.87631971,0,190.6864399,56.53137981,0.1591875,127.4427043,145.2936851,
201702.MFM_09_562017_9.qgd,9,BK-2,P.can,4.09415625,0.205355769,18.77066827,0.626949519,0.264721154,0.119055288,0.407639423,0,0.135346154,75.46138702,0.738021635,0,48.12126923,0,0.326293269,0.510620192,0.220002404,0.526867788,0,0.39346875,8.189891827,0,0,3.489728365,2.618610577,8.78484375,8.29265625,5.09625,93.74612019,13.71201923,0,11.57025721,2.48625,19.90977404,0,23.58876202,0,2.821673077,0,0,0,0,1.983461538,0.778564904,4.354896635,2.896096154,2.807091346,89.80823077,0.112608173,0,0,0,2.05003125,0.544954327,0,0,5.027105769,13.53015865,0,168.9706731,11.40345433,43.49853606,95.51141827,18.55726442,31.48003125,89.80823077,13.53015865,31.95830769,11.57025721,4.354896635,0.544954327,1.455100962,49.18558413,0,156.6437236,107.29125,0.112608173,107.6932861,121.7971298,
201702.MFM_11_562017_11.qgd,11,BK-2,Spl.zone,0.04975,0.009613636,3.542522727,0.016545455,0.088113636,0.023340909,0.070113636,0,0.009977273,20.32872727,0.427386364,0,1.179113636,0,0.079409091,0.018772727,0.018545455,0.068772727,0,0,0.105477273,0,0,0.041113636,2.791295455,13.32188636,0.070454545,0.773931818,1.928113636,2.751636364,0,8.78475,0.506159091,21.71736364,0,24.133,0,1.195590909,0,0,0,0,0.099181818,0.026477273,0.267431818,0.192068182,0.225727273,4.414659091,0.303318182,0,0,0,0.152795455,0.002772727,0,0,2.374977273,0.303113636,0,69.47409091,16.11318182,45.85036364,4.832454545,2.678090909,30.50211364,4.414659091,0.303113636,9.945045455,8.78475,0.267431818,0.002772727,0.168363636,1.685909091,0,6.365659091,26.33272727,0.303318182,4.985204545,7.960022727,
