"taxon","Meanc14_0","Meanc16_0","Meanc16_1w7","Meanc16_3w3","Meanc16_3w4","Meanc16_4w1","Meanc18_0","Meanc18_1w9","Meanc18_2w6","Meanc18_3w3","Meanc18_4w3","Meanc20_1w9","Meanc20_5w3","Meanc22_0","Meanc22_6w3","SDc14_0","SDc16_0","SDc16_1w7","SDc16_3w3","SDc16_3w4","SDc16_4w1","SDc18_0","SDc18_1w9","SDc18_2w6","SDc18_3w3","SDc18_4w3","SDc20_1w9","SDc20_5w3","SDc22_0","SDc22_6w3","n"
"Diatom",10.071577326,16.31167861,14.19149292,0.2414572515,7.2987912855,0.22421389,11.53046505,2.9891517405,1.683102901,3.1155033135,3.2419546295,1.4934259265,14.7005466,0.3636601475,7.9241050905,0.9127990425,1.1782969995,4.108719251,0.2848404315,1.9389547175,0.223264077,3.324321989,1.230376507,0.840577184,1.365624537,1.008811926,0.895255808,2.4536068895,0.191526408,2.2903689635,2
"Ulothrix",4.5,19.9,2.3,1.2,2.4,8.8,1.2,2.05,7,15.85,17.35,1.955,5,0.75,0.2,0.15,0.65,0.2,0.1,0.1,0.3,0.2,0.05,0.05,0.5,0.8,0.05,0.15,1e-06,0.1,2
"Draparnaldia",1.09173297506226,21.5701995232833,4.09475164578796,0.985591211743734,0.687590902821041,0.08893591786454,0.850701072096821,5.07635938046023,4.9447533328844,53.078738808941,6.25708837456311,0,0.546345631275443,0.652234497985229,0.0749767252309493,0.363814147119656,2.28517399927981,2.43430568461341,0.28206615185136,0.505058523063238,0.0688667663753466,0.159677023756239,0.739301802179309,1.12076524013836,4.08628750705457,0.946422602913251,1e-06,0.310064933597099,0.132300313903755,0.0438715921416695,7
