"site","distance_weighted_population"
"OS-1",128.233179545766
"KD-1",166.200356564289
"KD-2",180.020138935936
"BGO-2",198.953449256454
"BGO-3",217.672533358442
"MS-1",228.283092836866
"OS-3",297.578690963559
"BGO-1",327.11646969701
"BK-3",353.615859102927
"SM-1",495.528203474781
"BK-2",678.124892377973
"EM-1",766.975333071876
"BK-1",912.895076415417
"OS-2",972.531809667489
"LI-1",1209.06669416955
"LI-2",3293.46234015074
"LI-3",6559.41015474145
