"site","Genus","Species","c12_0","i_14_0","c14_0","c14_1w5","i_15_0","a_15_0","c15_0","c15_1w7","i_16_0","c16_0","c16_1w9","c16_1w8","c16_1w7","c16_1w6","c16_1w5","i_17_0","a_17_0","c17_0","c17_1w7","c16_2w7","c16_2w6","c16_2w4","c16_3w6","c16_3w4","c16_3w3","c16_4w3","c16_4w1","c18_0","c18_1w9","c18_1w7","c18_2w6t","c18_2w6","c18_3w6","c18_3w3","c18_4w4","c18_4w3","c18_5w3","c20_0","c20_1w9","c20_1w7","c20_2w5_11","c20_2w5_13","c20_2w6","c20_3w6","c20_4w6","c20_3w3","c20_4w3","c20_5w3","c22_0","c22_1w9","c22_1w7","c22_2w6","c22_4w6","c22_5w6","c22_3w3","c22_4w3","c22_5w3","c22_6w3","c24_0","comments"
"BGO-2","Eulimnogammarus","vittatus",4.126767327,0.126089109,38.6075495,1.296490099,0.525653465,0.220856436,0.615920792,0,0.128606436,68.54264109,1.184792079,0,52.74844307,0,0.363720297,0.41279703,0.256834158,0.689079208,0,0.648200495,3.807155941,0,0,1.495225248,4.715643564,20.67306683,3.921215347,9.016975248,168.6376559,15.74534406,0,17.14072277,1.490858911,48.35655446,0,34.45086386,0,3.583759901,0,0,0,0,1.462856436,0.373121287,3.404717822,5.007386139,2.574824257,39.73375248,0.130299505,0,0,0,0.591660891,0.853685644,0,0,3.047435644,9.76475495,0,""
"MS-1","Hyalella",NA,1.049233696,0.197192935,13.17330978,0.196165761,0.636285326,0.252317935,0.58338587,0,0.17325,47.25088043,0.475263587,0,24.07847283,0,0.422559783,0.597008152,0.277508152,0.671331522,0,0.348065217,4.505038043,0,0,1.827122283,0.983690217,3.301777174,3.521298913,4.67880163,42.8068125,7.45601087,0,9.430067935,1.390597826,13.50124728,0,12.15648098,0,1.589600543,0,0,0,0,1.3815,0.505442935,5.081967391,1.582288043,1.618605978,61.11481793,0.153904891,0,0,0,1.378638587,2.012869565,0,0,3.455804348,15.21983152,0,""
"MS-1","Eulimnogammarus","vittatus",3.565830882,0.194404412,34.75477941,1.205382353,0.89625,0.333044118,0.909419118,0,0.173316176,74.38769118,1.368904412,0,57.44838971,0,1.033742647,0.595786765,0.295941176,0.889235294,0,0.820058824,5.590036765,0,0,2.354073529,3.823808824,19.86941912,5.098477941,11.72768382,177.7584706,21.25036765,0,17.58222794,2.047367647,52.87782353,0,32.79275735,0,4.891080882,0,0,0,0,2.090338235,0.567375,4.493007353,6.571213235,3.165617647,57.97504412,0.177397059,0,0,0,1.202536765,1.311463235,0,0,3.592588235,14.43725735,0,""
"KD-2","Snail",NA,0.09135,0.079607143,3.784692857,0.120042857,0.194592857,0.108664286,0.310414286,0,0.133821429,8.4684,0.1134,0,5.286578571,0,0.389528571,0.596764286,0.670521429,0.563507143,0,0.129278571,1.490442857,0,0,0.239635714,0.452635714,1.237457143,0.303064286,4.411178571,6.659614286,2.807785714,0,8.293971429,0.30255,8.884028571,0,5.800135714,0,2.610707143,0,0,0,0,4.311107143,0.568521429,9.435728571,1.799378571,1.494385714,24.35592857,0,0,0,0,0.3894,1.71885,0,0,4.54005,7.269364286,0,""
"SM-1","Eulimnogammarus","cyaneus",0.712665,0.2734875,14.43528,0.2484675,0.94932,0.367065,0.922725,0,0.2138175,68.6890575,0.741465,0,27.4571325,0,0.5407425,0.6831675,0.3629925,0.9004725,0,0.471375,3.206475,0,0,1.213695,1.365165,5.2281225,2.01267,7.2590625,85.3398,0.5799375,0,18.6844275,1.4902425,26.4181725,0,17.8222725,0,2.623995,0,0,0,0,1.9265625,0.423225,6.3819675,2.3559075,1.7011575,49.4405775,0.20655,0,0,0,0.9480825,3.2407425,0,0,2.55951,19.3301325,0,""
"SM-1","Hyalella",NA,1.131042857,0.241692857,10.54975714,0.048021429,0.8025,0.326742857,0.663621429,0,0.343757143,43.64828571,0.545271429,0,21.15664286,0,0.574328571,1.087007143,0.575207143,1.095814286,0,0.330857143,2.842157143,0,0,0.99255,0.619392857,1.870778571,1.499207143,7.05075,43.33812857,10.37689286,0,12.0768,1.139378571,13.28963571,0,8.5479,0,1.981778571,0,0,0,0,2.251735714,0.5955,7.397057143,1.93305,1.774778571,69.10658571,0.309214286,0,0,0,1.462242857,3.2049,0,0,5.273292857,25.18692857,0,""
"EM-1","Eulimnogammarus","cyaneus",0.573726316,0.291836842,8.829236842,0.177868421,0.879276316,0.305739474,0.847871053,0,0.216047368,41.88839211,0.658065789,0,23.46804474,0,0.407818421,0.717489474,0.357039474,0.919752632,0,0.388657895,2.352031579,0,0,0.612189474,0.807678947,1.906531579,0.900497368,4.567357895,49.40632895,8.300936842,0,11.42933684,1.082392105,13.98033947,0,7.967723684,0,1.872947368,0,0,0,0,1.511242105,0.400689474,6.339173684,1.485686842,1.242686842,42.88057105,0.188786842,0,0,0,0.767605263,2.944823684,0,0,2.436110526,14.50577368,0,""
"BK-2","Snail",NA,0.108649485,0.037716495,2.003497423,0.08167268,0.078193299,0.046113402,0.169213918,0,0.060239691,4.999407216,0.187492268,0,2.865015464,0,0.162023196,0.26814433,0.343113402,0.378719072,0,0.065737113,0.816007732,0,0,0.174896907,0.205376289,0.595693299,0.22353866,3.441502577,3.406615979,1.548904639,0,4.761092784,0.177889175,3.841376289,0,2.196927835,0,1.108090206,0,0,0,0,2.812940722,0.043469072,6.892956186,0.919623711,0.614621134,16.07156443,0.017559278,0,0,0,0.221335052,0.910252577,0,0,3.870440722,2.90368299,0,""
"BGO-1","Snail",NA,0.073082547,0.045615566,2.414525943,0.084523585,0.111863208,0.057757075,0.207191038,0,0.090063679,6.542023585,0.201735849,0,3.170759434,0,0.211436321,0.41204717,0.417502358,0.398398585,0,0.050646226,0.732757075,0,0,0.12854717,0.299207547,0.868945755,0.151216981,3.69082783,3.48696934,1.86945283,0,5.499891509,0.164441038,5.453490566,0,2.671450472,0,1.199292453,0,0,0,0,2.848818396,0.265011792,6.53909434,0.996431604,0.616691038,13.69842453,0.022224057,0,0,0,0.181783019,0.666106132,0,0,3.804346698,2.286976415,0,""
"BGO-1","Hyalella",NA,0.688066265,0.173873494,4.42125,0.102876506,0.367129518,0.190057229,0.299141566,0,0.133807229,24.10170181,0.34338253,0,18.25769277,0,0.460355422,0.497141566,0.239746988,0.416629518,0,0.223942771,1.833424699,0,0,0.814039157,0.405948795,0.883789157,1.011307229,2.69775,27.14264458,6.543840361,0,7.658620482,0.804307229,8.850388554,0,4.931268072,0,1.171924699,0,0,0,0,1.391692771,0.292798193,6.207641566,1.343521084,1.220421687,54.25118675,0.085012048,0,0,0,0.841906627,1.882572289,0,0,3.416421687,14.68610241,0,""
"BGO-2","Hyalella",NA,0.146196429,0.050116071,1.442946429,0.2221875,0.160044643,0.077491071,0.182035714,0,0.093455357,9.018053571,0.2075625,0,12.33316071,0,0.368491071,0.387830357,1.142544643,0.202017857,0,0.169660714,0.964044643,0,0,0.210482143,0.1545,0.201321429,0.254517857,3.916526786,3.812196429,13.81858929,0,4.336553571,0.208151786,3.842892857,0,1.1709375,0,0.199580357,0,0,0,0,1.040223214,0.201642857,8.001723214,0.283098214,0.292767857,8.307455357,0.0688125,0,0,0,3.695464286,0.076392857,0,0,1.586625,0.310339286,0,""
