"site","distance_weighted_population"
"OS-1",455.773263239494
"BGO-2",611.909951049154
"BGO-3",624.454979698983
"KD-1",662.4151010475
"KD-2",720.548373418736
"BGO-1",838.538489133501
"MS-1",903.673332996544
"OS-3",1221.42419767607
"BK-3",1231.23394561438
"BK-2",1891.55803950494
"SM-1",2146.21770788777
"BK-1",2304.03858367421
"EM-1",3389.94925265423
"OS-2",4340.00017836668
"LI-1",5403.20866122281
"LI-2",14792.5147161685
"LI-3",29511.7322973189
