"","0","0.01","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09","0.1","0.11","0.12","0.13","0.14","0.15","0.16","0.17","0.18","0.19","0.2","0.21","0.22","0.23","0.24","0.25","0.26","0.27","0.28","0.29","0.3","0.31","0.32","0.33","0.34","0.35","0.36","0.37","0.38","0.39","0.4","0.41","0.42","0.43","0.44","0.45","0.46","0.47","0.48","0.49","0.5","0.51","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.6","0.61","0.62","0.63","0.64","0.65","0.66","0.67","0.68","0.69","0.7","0.71","0.72","0.73","0.74","0.75","0.76","0.77","0.78","0.79","0.8","0.81","0.82","0.83","0.84","0.85","0.86","0.87","0.88","0.89","0.9","0.91","0.92","0.93","0.94","0.95","0.96","0.97","0.98","0.99","1"
"Diatom",8.58907883117306e-126,2.87430343047304e-111,5.52543125373357e-104,5.5464165865e-98,7.02520245614291e-95,8.3528968138338e-91,1.49743715631351e-85,3.23967356453155e-82,1.10199298835725e-76,7.14976658963596e-73,1.38059620662805e-70,3.11074582760039e-68,2.76031758070914e-66,1.44390695034158e-64,5.47422776723195e-63,3.2433333240745e-61,1.69905209342023e-59,6.3806334123819e-58,1.82923302848863e-56,4.32852455379904e-55,1.10742657807091e-53,3.0496702228942e-52,7.08116332872622e-51,7.04686846965743e-50,7.86206701629603e-49,6.22300495826699e-48,4.43862559323043e-47,2.87120134637039e-46,1.58432075503938e-45,1.15328495608736e-44,6.79709224593027e-44,4.57858355794471e-43,2.26406329255662e-42,1.67617559614851e-41,1.35956116931071e-40,8.46554281949092e-40,7.37879356851071e-39,4.92294581802461e-38,3.24770623392669e-37,1.57764184001458e-36,1.01612148569465e-35,6.82073342431729e-35,4.01056067620091e-34,2.47034128772394e-33,1.89515221925254e-32,1.70406211448173e-31,8.71692606545455e-31,5.97075717000446e-30,3.89925634419882e-29,2.34098973880143e-28,1.72409374888642e-27,1.20167909964664e-26,8.78456488311399e-26,6.06447704257463e-25,3.81533130129993e-24,2.36932901643575e-23,1.10533462056197e-22,4.49842041045481e-22,1.99613435580069e-21,9.18978452454726e-21,3.28705486240983e-20,1.34412932173588e-19,4.90614801753662e-19,1.61967634537514e-18,4.89189681825618e-18,1.4054548842125e-17,4.48375425744877e-17,1.46357830227113e-16,4.97575962587851e-16,1.59566706318575e-15,4.82570854034269e-15,1.67125627094361e-14,5.19906256860125e-14,1.79186818756679e-13,8.2880903056752e-13,3.65058272020372e-12,1.31654545318657e-11,4.93786844014678e-11,1.56038942208007e-10,4.36521010772542e-10,1.30482546056929e-09,3.71467694366251e-09,9.80442096648732e-09,2.40125714728251e-08,6.89670273703888e-08,1.70701968160846e-07,3.85365934258176e-07,9.19324564647769e-07,2.29373112240789e-06,5.78923167577206e-06,1.37339613746872e-05,3.14349498921558e-05,7.37974259573168e-05,0.000169036262559943,0.000381511811741778,0.000839574338593549,0.00159525480407207,0.00278466174247082,0.00446625656094109,0.00681379626713961,0.0185202031113912
"Ulotrhix",1.26018929317194e-127,2.61586120044955e-113,4.78702335839301e-106,5.13147933296578e-100,4.14110224552203e-97,7.96270263259158e-93,1.87853000190463e-87,4.06572205694616e-84,1.27117729705479e-78,4.67762287069991e-75,8.87182277043979e-73,2.74167282780718e-70,2.35947519854318e-68,8.54353032808202e-67,6.33632161451566e-65,3.00178997051069e-63,1.03252173220658e-61,4.31917293780529e-60,1.61551740281632e-58,4.3851996520532e-57,9.30320834871018e-56,2.1240291577257e-54,5.4059329133567e-53,6.53469854787058e-52,6.47935164686415e-51,5.22807318396563e-50,3.47138363518936e-49,2.38240516287125e-48,1.35362828207296e-47,1.01902259317704e-46,6.33558279122484e-46,3.8579210694192e-45,1.95410697497834e-44,1.36952814187247e-43,1.14857111714909e-42,7.30558763126366e-42,6.34848609803031e-41,4.23121103186912e-40,2.867825424808e-39,1.50328570502003e-38,8.76088237128275e-38,6.37650957507755e-37,3.70387063408155e-36,2.13887953399576e-35,1.5176029132193e-34,1.12690623576273e-33,6.71034433233547e-33,5.59843191214962e-32,3.19333174616342e-31,2.15312823067253e-30,1.62828744434595e-29,1.01831462634243e-28,6.58271534441784e-28,4.67751021134722e-27,2.68171169174857e-26,1.73967080264502e-25,1.04765203145294e-24,4.20531822739288e-24,1.73295904510511e-23,7.35480973340349e-23,3.14581364261364e-22,1.10575225312089e-21,3.93248506558413e-21,1.5556547815111e-20,4.3132885698938e-20,1.30902007730242e-19,3.74662444139707e-19,1.25306857996227e-18,4.26357991592337e-18,1.30009018708302e-17,4.09114366959067e-17,1.22069147307264e-16,4.44726043920101e-16,1.53978533932774e-15,6.89651939327602e-15,2.91500810837801e-14,1.27309197622907e-13,3.62376595316659e-13,1.2442379411829e-12,3.79886336417901e-12,9.76140258546332e-12,2.85580610879441e-11,7.64380675250651e-11,2.16473564573168e-10,4.94596561559474e-10,1.31943797646884e-09,3.29670115667735e-09,8.29944303775243e-09,1.85482022855253e-08,4.86114559939057e-08,1.15250159858584e-07,2.63012843317321e-07,6.36921471025068e-07,1.39157220332349e-06,3.12880975143302e-06,7.075931079752e-06,1.57113993218983e-05,3.26264381281444e-05,7.30387215921753e-05,0.000140760146457181,0.00102504486883346
"Draparnaldia_NA",0.981275336805236,0.99301005682182,0.995398954385578,0.997162950910455,0.998381608172922,0.999145842554523,0.999611605550016,0.999829665602791,0.99992518456233,0.999967628653248,0.99998616933352,0.999994168643651,0.999997674514495,0.999999061158425,0.999999607923656,0.999999828016906,0.99999992985371,0.999999975246083,0.999999990051952,0.999999996225163,0.999999998680535,0.999999999560408,0.99999999984305,0.999999999950438,0.999999999986799,0.999999999996266,0.999999999999164,0.999999999999818,0.999999999999947,0.999999999999983,0.999999999999995,0.999999999999998,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
