"fa","Mean","Variance","Var_Mean_Ratio"
"c18_3w3",0.345724768432873,0.067332793001097,0.194758371829441
"c20_5w3",0.260385555210821,0.0367427505297078,0.141109020045137
"c20_4w6",0.0317145659909101,0.00184155461818269,0.058066524344382
"c18_4w3",0.16748794954719,0.00917117109673734,0.0547571996763466
"c22_6w3",0.057753926587298,0.00266250781872476,0.0461008969615295
"c22_5w3",0.0265994072753837,0.000543770517986136,0.0204429562041169
"c18_2w6",0.110333826955525,0.00149074057125197,0.0135111834002901
"c18_2w6t",0,0,NA
